datetime,open,high,low,close,volume
2023-01-01 00:00:00,99.98097152297996,100.95028109705956,99.42282366552512,100.04933818320526,8042
2023-01-01 00:01:00,100.36169927342343,100.29716884933421,99.27198028844217,100.19233507367782,9086
2023-01-01 00:02:00,100.15304861984082,100.80530423080941,100.27903958634087,100.36105529183914,2697
2023-01-01 00:03:00,100.3299146916697,100.49674395143104,100.18645979905494,100.36472037900201,5226
2023-01-01 00:04:00,100.91356340486196,101.58719595193507,99.91221902767987,100.65538500179288,7950
2023-01-01 00:05:00,100.66522463296702,101.4670583433435,100.25462541958244,100.80905981514209,6223
2023-01-01 00:06:00,100.87897169760457,101.42141449818081,100.22774464161174,100.96215001170343,3976
2023-01-01 00:07:00,101.2409939182927,101.72375136423058,100.56451927588216,101.22732436050745,4402
2023-01-01 00:08:00,101.4900694830656,101.98385075858496,100.42150412275798,101.05428435431392,3073
2023-01-01 00:09:00,101.31226112965344,102.13395769314886,101.077294596691,101.27173983582405,6698
2023-01-01 00:10:00,101.0648169810299,101.39859717131047,100.72469554388715,101.20277222741538,7697
2023-01-01 00:11:00,101.02523265619536,102.13261195743094,100.66599859943021,101.25745343669703,3056
2023-01-01 00:12:00,101.18146315316957,101.8624257255192,101.37629655176464,101.43804143265858,5253
2023-01-01 00:13:00,101.67901790888921,101.89449442623537,100.96466823162281,101.44067589091625,3113
2023-01-01 00:14:00,101.36338759772562,102.37995687939262,101.25305364892822,101.54394623323859,2815
2023-01-01 00:15:00,101.55260283442404,101.89282915479593,100.82161726061518,101.69913183365038,6976
2023-01-01 00:16:00,101.88782817627323,102.17318768516363,101.0854129853542,101.73919625704238,9365
2023-01-01 00:17:00,101.53139559038144,101.89018723023595,101.35042407337428,101.54257673411435,9051
2023-01-01 00:18:00,102.32162704931184,102.59867364679188,101.53690074157406,101.88763747745884,2025
2023-01-01 00:19:00,102.06522836228989,102.6439578040145,101.6832906319335,101.86197007126394,5983
2023-01-01 00:20:00,101.41736270555818,102.46619514908902,100.85146110163888,101.68005203654744,1074
2023-01-01 00:21:00,101.51376212495833,102.35308074843418,100.91033197031412,101.53505476000176,5496
2023-01-01 00:22:00,101.30467565612928,102.2157375484644,100.55829273925177,101.42935138795457,9750
2023-01-01 00:23:00,101.83188616822159,102.07931658821916,100.63440234795259,101.51139252466446,4521
2023-01-01 00:24:00,101.59112597209167,102.34360640189126,100.9993414505801,101.62295613134951,7834
2023-01-01 00:25:00,101.49676830650172,102.42814477049794,101.36304265188608,101.71736244523927,3514
2023-01-01 00:26:00,102.44314415653571,102.8995172858513,101.79876841971644,102.19430751888162,9702
2023-01-01 00:27:00,102.22740721204386,102.3447822840245,101.68798051163633,102.03549505617578,3018
2023-01-01 00:28:00,102.12225202055048,102.85692269728487,101.67469182806553,101.90055204992522,3832
2023-01-01 00:29:00,102.14937690870993,102.1211034344724,101.18790249827462,101.73739427281177,4083
2023-01-01 00:30:00,101.89499227724122,101.84705845728288,100.72222910660939,101.71215932530599,9672
2023-01-01 00:31:00,101.96069224556794,102.35154550862077,100.98156758075645,101.97343857559392,5396
2023-01-01 00:32:00,101.84160347537104,102.56377910068385,101.29249074978094,102.1033615280782,3697
2023-01-01 00:33:00,102.11798655265953,102.49811063177148,101.1829901979674,102.15582796652897,9356
2023-01-01 00:34:00,102.3290138668904,103.13785516366818,101.95419887767723,102.2282749659758,2687
2023-01-01 00:35:00,102.36921668769422,102.940535031874,101.45429993869466,102.09943369566416,7696
2023-01-01 00:36:00,102.46691841247261,103.22248743335162,102.31233829919589,102.3142742388013,6161
2023-01-01 00:37:00,102.16424485867559,102.39964636925028,101.82484763341701,102.07221296187885,5442
2023-01-01 00:38:00,102.06791752581722,102.65377365802081,101.8709612636407,102.3937956187178,3492
2023-01-01 00:39:00,102.52828447304857,103.04561579274983,101.73595419934834,102.52749561542865,3237
2023-01-01 00:40:00,102.77241515353211,102.73677636851907,102.1664065694018,102.39125817118197,3958
2023-01-01 00:41:00,101.97281916130356,102.65166163601437,101.69283634516304,102.30809778299952,4890
2023-01-01 00:42:00,102.94391145116121,103.13108195985558,102.50165083796976,102.59103860641538,4390
2023-01-01 00:43:00,102.24265123274265,103.20796011593531,102.58752791730957,102.61525285969336,3930
